"HS 1992 Code","Product","PCI 2019","PCI 2018","PCI 2017","PCI 2016","PCI 2015","PCI 2014","PCI 2013","PCI 2012","PCI 2011","PCI 2010","PCI 2009","PCI 2008","PCI 2007","PCI 2006","PCI 2005","PCI 2004","PCI 2003","PCI 2002","PCI 2001","PCI 2000","PCI 1999","PCI 1998","PCI 1997","PCI 1996","PCI 1995"
"0101","Live horses, asses, mules or hinnies","0.2359","-0.1434","0.3298","-0.1737","-0.2747","-0.3154","0.1177","-0.4661","0.2735","0.095","-0.3455","-0.0886","-0.1086","-0.0281","-0.2723","0.2439","0.2536","0.1171","0.0329","0.1284","-0.0488","0.078","0.0344","-0.0472","0.0367"
"0102","Live bovine animals","-0.464","-0.4094","-0.7408","-0.7747","-0.8479","-0.9091","-0.838","-0.8613","-0.879","-0.7592","-0.5682","-0.6548","-0.6386","-0.6862","-0.8279","-0.9048","-0.952","-1.1785","-1.2963","-0.6502","-0.6309","-0.4732","-0.6425","-0.8897","-0.4485"
"0103","Live swine","0.658","0.6416","0.6824","0.5167","0.6984","0.7783","0.7556","0.7542","0.7767","0.5638","0.9601","1.1014","0.9085","0.8832","0.4447","0.4954","0.1922","0.3474","0.231","0.0773","0.1178","0.1633","0.1127","0.5797","0.2191"
"0104","Live sheep and goats","-1.4681","-1.4941","-1.6325","-1.5967","-1.8933","-1.7824","-1.7758","-1.7333","-1.6765","-1.4903","-1.4385","-1.6908","-1.4806","-1.4516","-1.694","-1.62","-1.6872","-1.6085","-1.2345","-1.2245","-1.1938","-1.1951","-0.9743","-1.605","-0.9384"
"0105","Live poultry of the following kinds Chickens, ducks, geese, turkeys and guineas","-0.0405","0.0094","-0.1188","0.0871","-0.0787","-0.0701","0.0519","0.1397","-0.1274","0.0148","0.1693","0.1897","-0.0394","0.1208","-0.3021","-0.5939","-0.4689","-0.3252","-0.4778","-0.0166","0.0697","0.1224","0.1423","-0.0064","-0.1163"
"0106","Other live animals","-1.2249","-1.503","-1.2576","-1.3659","-1.653","-1.4416","-1.3997","-1.7288","-1.7532","-1.5602","-1.5306","-1.5214","-1.6211","-1.7128","-1.7104","-1.7379","-1.6389","-1.7749","-1.955","-1.6226","-1.7833","-1.7583","-1.6301","-1.9092","-1.8181"
"0201","Meat of bovine animals, fresh or chilled","-0.5226","-0.6344","-0.5546","-0.4982","-0.1809","-0.3835","-0.2717","-0.1757","-0.2399","-0.0848","-0.1224","-0.147","-0.438","-0.2686","-0.3046","-0.0176","-0.19","0.0211","-0.1549","-0.3942","-0.0432","-0.3003","-0.2586","-0.3121","-0.298"
"0202","Meat of bovine animals, frozen","-0.8561","-1.1634","-1.2269","-1.0377","-0.9678","-1.0976","-1.0236","-0.9847","-1.544","-0.7898","-0.831","-1.1668","-0.8901","-1.328","-1.2862","-1.0713","-0.6981","-1.1001","-1.0072","-0.7081","-0.9008","-0.8454","-1.0189","-1.2519","-0.8999"
"0203","Meat of swine, fresh, chilled or frozen","0.8584","0.9732","0.9705","0.9075","0.8364","0.5839","0.9765","1.0046","1.0363","1.0165","1.0816","1.174","1.1463","0.7933","1.0426","0.723","0.8655","0.7888","0.6179","0.7399","0.7146","0.3829","0.48","0.7524","0.9237"
"0204","Meat of sheep or goats, fresh, chilled or frozen","-1.5756","-1.7054","-1.7126","-1.3748","-1.2194","-1.6557","-1.4767","-1.6492","-1.6472","-1.6735","-1.3081","-0.9942","-1.2062","-1.2921","-1.04","-0.7977","-0.7505","-0.9925","-0.9895","-1.1557","-0.9314","-1.2124","-0.7228","-1.2006","-0.7291"
"0205","Meat of horses, asses, mules or hinnies, fresh, chilled or frozen","-0.7857","-0.4506","-0.7066","-0.7193","-0.2295","-0.2339","-0.2085","0.1007","-0.0735","0.0432","-0.1674","-0.331","-0.4115","-0.3225","-0.085","-0.0701","-0.2185","0.0363","0.1046","0.3558","-0.5347","-0.6044","-0.3238","-0.3044","0.01"
